Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
5HDRNAYE;preprint;2020;"Anthony, Lasse F. Wolff; Kanding, Benjamin; Selvan, Raghavendra";Carbontracker: Tracking and Predicting the Carbon Footprint of Training Deep Learning Models;;;;;http://arxiv.org/abs/2007.03051;Deep learning (DL) can achieve impressive results across a wide variety of tasks, but this often comes at the cost of training models for extensive periods on specialized hardware accelerators. This energy-intensive workload has seen immense growth in recent years. Machine learning (ML) may become a significant contributor to climate change if this exponential trend continues. If practitioners are aware of their energy and carbon footprint, then they may actively take steps to reduce it whenever possible. In this work, we present Carbontracker, a tool for tracking and predicting the energy and carbon footprint of training DL models. We propose that energy and carbon footprint of model development and training is reported alongside performance metrics using tools like Carbontracker. We hope this will promote responsible computing in ML and encourage research into energy-efficient deep neural networks.;06/07/2020;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:14;;;;;;;Carbontracker;;;;;arXiv;;;;;;;arXiv.org;;arXiv:2007.03051 [cs, eess, stat];;"C:\Users\charlotte.rodriguez\Zotero\storage\8RINSNRS\Anthony et al. - 2020 - Carbontracker Tracking and Predicting the Carbon .pdf; C:\Users\charlotte.rodriguez\Zotero\storage\9G85XPWM\2007.html";;;"Computer Science - Computers and Society; Computer Science - Machine Learning; Electrical Engineering and Systems Science - Signal Processing; Statistics - Machine Learning";;;;;;;;;;;;;;;;;;;arXiv:2007.03051;;;;;;;;;;;;;;;;;;;;;;;;;;;
34VCG97C;journalArticle;2022;"Budennyy, S. A.; Lazarev, V. D.; Zakharenko, N. N.; Korovin, A. N.; Plosskaya, O. A.; Dimitrov, D. V.; Akhripkin, V. S.; Pavlov, I. V.; Oseledets, I. V.; Barsola, I. S.; Egorov, I. V.; Kosterina, A. A.; Zhukov, L. E.";eco2AI: Carbon Emissions Tracking of Machine Learning Models as the First Step Towards Sustainable AI;Doklady Mathematics;;1531-8362;10.1134/S1064562422060230;https://doi.org/10.1134/S1064562422060230;The size and complexity of deep neural networks used in AI applications continue to grow exponentially, significantly increasing energy consumption for training and inference by these models. We introduce an open-source package eco2AI to help data scientists and researchers to track the energy consumption and equivalent CO2 emissions of their models in a straightforward way. In eco2AI we focus on accurate tracking of energy consumption and regional CO2 emissions accounting. We encourage the research for community to search for new optimal Artificial Intelligence (AI) architectures with lower computational cost. The motivation also comes from the concept of AI-based greenhouse gases sequestrating cycle with both Sustainable AI and Green AI pathways. The code and documentation are hosted on Github under the Apache 2.0 license https://github.com/sb-ai-lab/Eco2AI.;01/12/2022;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:19;S118-S128;;1;106;;Dokl. Math.;eco2AI;;;;;;;en;;;;;Springer Link;;;;C:\Users\charlotte.rodriguez\Zotero\storage\UBJPVHX9\Budennyy et al. - 2022 - eco2AI Carbon Emissions Tracking of Machine Learn.pdf;;;"AI; carbon footprint; CO2 emissions; ecology; ESG; GHG; sustainability";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87E69WLT;journalArticle;2020;"Henderson, Peter; Hu, Jieru; Romoff, Joshua; Brunskill, Emma; Jurafsky, Dan; Pineau, Joelle";Towards the Systematic Reporting of the Energy and Carbon Footprints of Machine Learning;Journal of Machine Learning Research;;1533-7928;;http://jmlr.org/papers/v21/20-312.html;Accurate reporting of energy and carbon usage is essential for understanding the potential climate impacts of machine learning research. We introduce a framework that makes this easier by providing a simple interface for tracking realtime energy consumption and carbon emissions, as well as generating standardized online appendices. Utilizing this framework, we create a leaderboard for energy efficient reinforcement learning algorithms to incentivize responsible research in this area as an example for other areas of machine learning. Finally, based on case studies using our framework, we propose strategies for mitigation of carbon emissions and reduction of energy consumption. By making accounting easier, we hope to further the sustainable development of machine learning experiments and spur more research into energy efficient algorithms.;2020;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:20;janv-43;;248;21;;;;;;;;;;;;;;;jmlr.org;;;;C:\Users\charlotte.rodriguez\Zotero\storage\5EC4ERWA\experiment-impact-tracker.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6VFR7LDC;preprint;2019;"Lacoste, Alexandre; Luccioni, Alexandra; Schmidt, Victor; Dandres, Thomas";Quantifying the Carbon Emissions of Machine Learning;;;;10.48550/arXiv.1910.09700;http://arxiv.org/abs/1910.09700;From an environmental standpoint, there are a few crucial aspects of training a neural network that have a major impact on the quantity of carbon that it emits. These factors include: the location of the server used for training and the energy grid that it uses, the length of the training procedure, and even the make and model of hardware on which the training takes place. In order to approximate these emissions, we present our Machine Learning Emissions Calculator, a tool for our community to better understand the environmental impact of training ML models. We accompany this tool with an explanation of the factors cited above, as well as concrete actions that individual practitioners and organizations can take to mitigate their carbon emissions.;04/11/2019;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:23;;;;;;;;;;;;arXiv;;;;;;;arXiv.org;;arXiv:1910.09700 [cs];;"C:\Users\charlotte.rodriguez\Zotero\storage\Z5EJE7IN\Lacoste et al. - 2019 - Quantifying the Carbon Emissions of Machine Learni.pdf; C:\Users\charlotte.rodriguez\Zotero\storage\DDYEH6WL\1910.html";;;"Computer Science - Computers and Society; Computer Science - Machine Learning";;;;;;;;;;;;;;;;;;;arXiv:1910.09700;;;;;;;;;;;;;;;;;;;;;;;;;;;
4EP4IN2C;journalArticle;2021;"Lannelongue, Loïc; Grealey, Jason; Inouye, Michael";Green Algorithms: Quantifying the Carbon Footprint of Computation;Advanced Science;;2198-3844;10.1002/advs.202100707;https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202100707;Climate change is profoundly affecting nearly all aspects of life on earth, including human societies, economies, and health. Various human activities are responsible for significant greenhouse gas (GHG) emissions, including data centers and other sources of large-scale computation. Although many important scientific milestones are achieved thanks to the development of high-performance computing, the resultant environmental impact is underappreciated. In this work, a methodological framework to estimate the carbon footprint of any computational task in a standardized and reliable way is presented and metrics to contextualize GHG emissions are defined. A freely available online tool, Green Algorithms (www.green-algorithms.org) is developed, which enables a user to estimate and report the carbon footprint of their computation. The tool easily integrates with computational processes as it requires minimal information and does not interfere with existing code, while also accounting for a broad range of hardware configurations. Finally, the GHG emissions of algorithms used for particle physics simulations, weather forecasts, and natural language processing are quantified. Taken together, this study develops a simple generalizable framework and freely available tool to quantify the carbon footprint of nearly any computation. Combined with recommendations to minimize unnecessary CO2 emissions, the authors hope to raise awareness and facilitate greener computation.;2021;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:27;2100707;;12;8;;;Green Algorithms;;;;;;;en;;;;;Wiley Online Library;;_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/advs.202100707;;"C:\Users\charlotte.rodriguez\Zotero\storage\33PPFMVP\Lannelongue et al. - 2021 - Green Algorithms Quantifying the Carbon Footprint.pdf; C:\Users\charlotte.rodriguez\Zotero\storage\FEZM5DUW\advs.html";;;"climate change; computational research; green computing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LR4R7J6X;preprint;2019;"Lottick, Kadan; Susai, Silvia; Friedler, Sorelle A.; Wilson, Jonathan P.";Energy Usage Reports: Environmental awareness as part of algorithmic accountability;;;;10.48550/arXiv.1911.08354;http://arxiv.org/abs/1911.08354;The carbon footprint of algorithms must be measured and transparently reported so computer scientists can take an honest and active role in environmental sustainability. In this paper, we take analyses usually applied at the industrial level and make them accessible for individual computer science researchers with an easy-to-use Python package. Localizing to the energy mixture of the electrical power grid, we make the conversion from energy usage to CO2 emissions, in addition to contextualizing these results with more human-understandable benchmarks such as automobile miles driven. We also include comparisons with energy mixtures employed in electrical grids around the world. We propose including these automatically-generated Energy Usage Reports as part of standard algorithmic accountability practices, and demonstrate the use of these reports as part of model-choice in a machine learning context.;16/12/2019;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:30;;;;;;;Energy Usage Reports;;;;;arXiv;;;;;;;arXiv.org;;arXiv:1911.08354 [cs, stat];;"C:\Users\charlotte.rodriguez\Zotero\storage\2A8W79X2\Lottick et al. - 2019 - Energy Usage Reports Environmental awareness as p.pdf; C:\Users\charlotte.rodriguez\Zotero\storage\EACD79Y9\1911.html";;;"Computer Science - Computers and Society; Computer Science - Machine Learning; Statistics - Machine Learning";;;;;;;;;;;;;;;;;;;arXiv:1911.08354;;;;;;;;;;;;;;;;;;;;;;;;;;;
6TC48R9J;conferencePaper;2022;Noureddine, Adel;PowerJoular and JoularJX: Multi-Platform Software Power Monitoring Tools;;;;10.1109/IE54923.2022.9826760;https://hal.science/hal-03608223;Monitoring the power consumption of applications and source code is an important step in writing green software. In this paper, we propose PowerJoular and JoularJX, our software power monitoring tools. We aim to help software developers in understanding and analyzing the power consumption of their programs, and help system administrators and automated tools in monitoring the power consumption of large numbers of heterogeneous devices.;20/06/2022;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:39;;;;;;;PowerJoular and JoularJX;;;;;;;en;;;;;hal.science;;;;"C:\Users\charlotte.rodriguez\Zotero\storage\8HX6WK7G\9826760.html; C:\Users\charlotte.rodriguez\Zotero\storage\6U5EMXFC\Noureddine - 2022 - PowerJoular and JoularJX Multi-Platform Software .pdf";;;"Codes; Energy Analysis; Linux; Measurement; Operating systems; Power Consumption; Power demand; Power Monitoring; Real-time systems; Software; Writing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18th International Conference on Intelligent Environments;;;;;;;;;;;;;;;
WYGMYQDS;conferencePaper;2022;"Pathania, Priyavanshi; Mehra, Rohit; Sharma, Vibhu Saujanya; Kaulgud, Vikrant; Podder, Sanjay; Burden, Adam P.";ESAVE: Estimating Server and Virtual Machine Energy;37th IEEE/ACM International Conference on Automated Software Engineering;;;10.1145/3551349.3561170;http://arxiv.org/abs/2209.07394;Sustainable software engineering has received a lot of attention in recent times, as we witness an ever-growing slice of energy use, for example, at data centers, as software systems utilize the underlying infrastructure. Characterizing servers for their energy use accurately without being intrusive, is therefore important to make sustainable software deployment choices. In this paper, we introduce ESAVE which is a machine learning-based approach that leverages a small set of hardware attributes to characterize a server or virtual machine's energy usage across different levels of utilization. This is based upon an extensive exploration of multiple ML approaches, with a focus on a minimal set of required attributes, while showcasing good accuracy. Early validations show that ESAVE has only around 12% average prediction error, despite being non-intrusive.;10/10/2022;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:43;01-mars;;;;;;ESAVE;;;;;;;;;;;;arXiv.org;;arXiv:2209.07394 [cs];;"C:\Users\charlotte.rodriguez\Zotero\storage\DKE67W5E\Pathania et al. - 2022 - ESAVE Estimating Server and Virtual Machine Energ.pdf; C:\Users\charlotte.rodriguez\Zotero\storage\HHKF87JV\2209.html; C:\Users\charlotte.rodriguez\Zotero\storage\RJ8C7QA4\Pathania et al. - 2022 - ESAVE Estimating Server and Virtual Machine Energ.pdf";;;Computer Science - Software Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI5YTX43;conferencePaper;2018;"Rodrigues, Crefeda; Riley, Graham; Luján, Mikel";SyNERGY: An energy measurement and prediction framework for Convolutional Neural Networks on Jetson TX1;;;;;;"There is a huge demand for on-device execution of deep learning algorithms on mobile and embedded platforms. These devices present constraints on the application due to limited hardware resources and power. However, current evaluation studies in existing deep learning frameworks (for example, Caffe, Tensorflow, Torch and others) are limited to performance measurements of these applications on high-end CPUs and GPUs. In this work, we propose ""SyNERGY"" a fine-grained energy measurement (that is, at specific layers) and prediction framework for deep neu-ral networks on embedded platforms. We integrate ARM's Streamline Performance Analyser with standard deep learning frameworks such as Caffe and CuDNNv5 to quantify the energy-use of deep convolutional neural networks on the Nvidia Jetson Tegra X1. Our measurement framework provides an accurate breakdown of actual energy consumption and performance across all layers in the neural network while our prediction framework models the energy-use in terms of target-specific performance counters such as SIMD and bus accesses and application specific parameters such as Multiply and Accumulate (MAC) counts. Our experimental results using 9 representative Deep Convolutional Neural Network shows that a multi-variable linear regression model based on hardware performance counters alone achieves an average prediction test error of 8.04 ± 5.96% compared to actual energy measurements. Surprisingly, we find that it is possible to refine the model to predict the number of SIMD instructions and main memory accesses solely from the application's Multiply-Accumulate (MAC) counts with an average prediction test error of 0.81 ± 0.77% and 17.97 ± 15.29% respectively. This alleviates the need for actual measurements giving a final average prediction test error of 7.08 ± 5.05% using solely the application's MAC counts as input.";01/10/2018;18/04/2023 06:22;18/04/2023 06:22;;;;;;;;SyNERGY;;;;;;;;;;;;ResearchGate;;;;"C:\Users\charlotte.rodriguez\Zotero\storage\6QCPPEXV\Rodrigues et al. - 2018 - SyNERGY An energy measurement and prediction fram.pdf; ";https://www.researchgate.net/publication/327988512_SyNERGY_An_energy_measurement_and_prediction_framework_for_Convolutional_Neural_Networks_on_Jetson_TX1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Int'l Conf. Par. and Dist. Proc. Tech. and Appl. | PDPTA'18;;;;;;;;;;;;;;;
C6N9DRPX;preprint;2021;"Shahid, Arsalan; Fahad, Muhammad; Manumachu, Ravi Reddy; Lastovetsky, Alexey";Energy of Computing on Multicore CPUs: Predictive Models and Energy Conservation Law;;;;;http://arxiv.org/abs/1907.02805;Energy is now a first-class design constraint along with performance in all computing settings. Energy predictive modelling based on performance monitoring counts (PMCs) is the leading method used for prediction of energy consumption during an application execution. We use a model-theoretic approach to formulate the assumed properties of existing models in a mathematical form. We extend the formalism by adding properties, heretofore unconsidered, that account for a limited form of energy conservation law. The extended formalism defines our theory of energy of computing. By applying the basic practical implications of the theory, we improve the prediction accuracy of state-of-the-art energy models from 31% to 18%. We also demonstrate that use of state-of-the-art measurement tools for energy optimisation may lead to significant losses of energy (ranging from 56% to 65% for applications used in experiments) since they do not take into account the energy conservation properties.;27/09/2021;18/04/2023 06:22;18/04/2023 06:22;10/04/2023 12:54;;;;;;;Energy of Computing on Multicore CPUs;;;;;arXiv;;;;;;;arXiv.org;;arXiv:1907.02805 [cs, eess];;C:\Users\charlotte.rodriguez\Zotero\storage\X4ET8VRU\1907.html;;;"Computer Science - Distributed, Parallel, and Cluster Computing; Computer Science - Performance; Electrical Engineering and Systems Science - Systems and Control";;;;;;;;;;;;;;;;;;;arXiv:1907.02805;;;;;;;;;;;;;;;;;;;;;;;;;;;
QT24GU2Y;journalArticle;2021;"Shahid, Arsalan; Fahad, Muhammad; Manumachu, Ravi Reddy; Lastovetsky, Alexey";Energy Predictive Models of Computing: Theory, Practical Implications and Experimental Analysis on Multicore Processors;IEEE Access;;2169-3536;10.1109/ACCESS.2021.3075139;;The energy efficiency in ICT is becoming a grand technological challenge and is now a first-class design constraint in all computing settings. Energy predictive modelling based on performance monitoring counters (PMCs) is the leading method for application-level energy optimization. However, a sound theoretical framework to understand the fundamental significance of the PMCs to the energy consumption and the causes of the inaccuracy of the models is lacking. In this work, we propose a small but insightful theory of energy predictive models of computing, which formalizes both the assumptions behind the existing PMC-based energy predictive models and properties, heretofore unconsidered, that are basic implications of the universal energy conservation law. The theory's basic practical implications include selection criteria for model variables, model intercept, and model coefficients. The experiments on two modern Intel multicore servers show that applying the proposed selection criteria improves the prediction accuracy of state-of-the-art linear regression models from 31.2% to 18%. Finally, we demonstrate that employing energy models constructed using the proposed theory for energy optimization can save a significant amount of energy (up to 80% for applications used in experiments) compared to state-of-the-art energy measurement tools.;2021;18/04/2023 06:22;18/04/2023 06:22;;63149-63172;;;9;;;Energy Predictive Models of Computing;;;;;;;;;;;;IEEE Xplore;;Conference Name: IEEE Access;;"C:\Users\charlotte.rodriguez\Zotero\storage\DK663KHD\Shahid et al. - 2021 - Energy Predictive Models of Computing Theory, Pra.pdf; C:\Users\charlotte.rodriguez\Zotero\storage\PJ8888P9\9410601.html";;;"Biological system modeling; Computational modeling; energy conservation; Energy consumption; Energy measurement; energy optimization; energy predictive modeling; linear regression; Multicore processing; Multicore processor; performance monitoring counters; Predictive models; Program processors";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GBVCNZCP;conferencePaper;2013;"Singh, Vivek Kumar; Dutta, Kaushik; VanderMeer, Debra";Estimating the Energy Consumption of Executing Software Processes;2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing;;;10.1109/GreenCom-iThings-CPSCom.2013.40;;Power consumption in data centers is significant across the globe. The use of cloud-based services, e.g., infrastructure as a service and software as a service (such as Google Docs, Microsoft Office 365, Salesforce.com), is becoming a standard practice in modern IT frameworks. This paradigm shift in the IT industry indicates that the demand for data-center-based services will continue to increase in the future, with concomitant increases in power consumption. In such a scenario, optimizing the IT resources to improve energy efficiency is a necessity. The first step of such an optimization at the application level is knowing how much energy an application is consuming. One of the main challenges in this domain is developing a software-based energy metering tool that can measure an OS processes' energy consumption. Many existing solutions depend on an external watt-meter or other hardware-based enhancements, these are not practical for real-world use in data centers. To overcome the limitations of existing solutions, we have developed an OS process-level power metering tool that can accurately estimate the energy usage of each OS process running on a Linux server without an online watt-meter. Based on a set of experiments, we demonstrated that our method and implementation provides energy consumption estimation for complex e-business applications with above 95% accuracy.;2013-08;18/04/2023 06:22;18/04/2023 06:22;;94-101;;;;;;;;;;;;;;;;;;IEEE Xplore;;;;C:\Users\charlotte.rodriguez\Zotero\storage\RXYJFISY\6682054.html;;;"Measurement; Software; Biological system modeling; Energy consumption; Energy measurement; Energy; Equations; Green IT; Hardware; Mathematical model; Modeling; Power Meter";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing;;;;;;;;;;;;;;;
